,Key,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MIDA-lottery gain,MIDA-Vickrey traders gain,MIDA-Vickrey total gain
0,IBM,62.0,38.0,100.0,38.0,148959.0,40000.0,45191.27266408858,8.0,11.0,17000.0,108900.0,89862.5,88150.0,98550.0
1,IBM,62.0,48.0,110.0,48.0,213720.0,30000.0,45388.186656882426,7.0,19.0,32222.0,235823.75,145212.5,185328.5,218367.0
2,IBM,62.0,58.0,120.0,58.0,146962.0,10000.0,22944.560226772708,19.0,18.0,26430.0,126532.5,110950.0,116237.5,125450.0
3,IBM,71.0,59.0,130.0,59.0,237419.0,25000.0,45998.95443376947,14.0,26.0,72300.0,699512.375,612985.5,659919.25,692410.875
4,IBM,79.0,61.0,140.0,61.0,270266.0,50000.0,63528.0184957787,8.0,29.0,49926.0,417935.25,378065.625,357328.125,393915.625
5,IBM,96.0,54.0,150.0,54.0,244989.0,20000.0,40767.516640089816,12.0,19.0,38887.0,243430.0,143928.75,179491.0,210528.75
6,IBM,97.0,63.0,160.0,63.0,255841.0,15000.0,35549.81199668994,17.0,28.0,60361.0,406371.625,169399.5,201025.0,315887.5
7,IBM,95.0,75.0,170.0,75.0,288456.0,25000.0,43945.01475708024,18.0,26.0,68451.0,431851.5,289162.5,238923.5,341437.5
8,IBM,104.0,76.0,180.0,76.0,393136.0,44800.0,68769.73705053699,29.0,30.0,87150.0,646081.25,308006.25,221043.75,429825.0
9,IBM,119.0,71.0,190.0,71.0,345019.0,50000.0,67984.0383840207,8.0,49.0,67391.0,809899.875,578656.25,548560.0,647525.5
10,IBM,113.0,87.0,200.0,87.0,306803.0,20000.0,42908.78379772608,15.0,37.0,67408.0,425675.625,396486.0,395550.125,420788.625
11,IBM,121.0,89.0,210.0,89.0,325152.0,50000.0,65539.43707417695,15.0,34.0,65800.0,239059.25,159696.0,144058.75,197362.375
12,IBM,139.0,81.0,220.0,81.0,425871.0,25000.0,61595.43112114729,11.0,47.0,92400.0,873911.0,840363.0,793536.875,847774.125
13,IBM,129.0,101.0,230.0,101.0,422913.0,20000.0,56442.31144274657,19.0,52.0,103669.0,814094.0,459887.5,306450.0,608268.75
14,IBM,140.0,100.0,240.0,100.0,450459.0,44800.0,73881.24917054395,9.0,67.0,77526.0,1004209.25,451986.125,143615.25,477745.25
15,IBM,140.0,110.0,250.0,110.0,558898.0,50000.0,93996.9545464107,19.0,51.0,89481.0,539458.75,479368.625,475707.375,512002.125
16,IBM,154.0,106.0,260.0,106.0,380731.0,24380.0,50195.99811737984,21.0,51.0,83308.0,690392.75,489423.0,426511.25,605259.5
17,IBM,155.0,115.0,270.0,115.0,497978.0,25000.0,65113.75453773189,22.0,61.0,120433.0,1036831.5,927306.0,937934.875,1016213.125
18,IBM,155.0,125.0,280.0,125.0,593659.0,50000.0,92429.85579887053,35.0,49.0,112800.0,580499.75,415346.0,491619.0,554149.75
19,IBM,164.0,126.0,290.0,126.0,507980.0,40000.0,67447.33450626496,25.0,47.0,108733.0,895092.375,523852.0,412870.25,657870.25
20,IBM,176.0,124.0,300.0,124.0,568891.0,50000.0,84386.41681574115,27.0,46.0,129233.0,1214361.375,886430.0,927137.625,1163591.0
21,IBM,167.0,143.0,310.0,143.0,601478.0,50000.0,86269.31964493518,31.0,56.0,163778.0,1934166.75,1858133.25,1865947.875,1928329.125
22,IBM,193.0,127.0,320.0,127.0,511462.0,20000.0,58243.07510768984,29.0,45.0,102947.0,907169.875,367674.125,299414.625,585471.875
23,IBM,186.0,144.0,330.0,144.0,608009.0,20000.0,62515.18587511357,30.0,55.0,101150.0,438476.875,350031.25,384517.5,425081.25
24,IBM,195.0,145.0,340.0,145.0,541052.0,20000.0,63421.19655131082,26.0,63.0,109386.0,1021114.5,820170.5,932899.25,1015084.25
25,IBM,229.0,121.0,350.0,121.0,675045.0,50000.0,90983.34864688154,23.0,68.0,111850.0,1348869.75,736287.5,819253.75,1133941.25
26,IBM,201.0,159.0,360.0,159.0,707448.0,30000.0,82436.82117840304,20.0,79.0,132676.0,939835.25,861168.25,825952.25,908367.5
