,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MIDA-lottery gain,MIDA-Vickrey traders gain,MIDA-Vickrey total gain
0,400000.0,100.0,100000.0,50.0,4.0,4.0,8.0,4.0,800000.0,100000.0,100000.0,1.0,282842.71247461904,1992.0,1992.0,199200.0,10040838.491163477,3646709.2174716922,850746.1335747608,4011905.01112134
1,400000.0,100.0,100000.0,100.0,4.0,4.0,8.0,4.0,800000.0,100000.0,100000.0,1.0,282842.71247461904,2009.0,2009.0,200900.0,20253111.840141654,7157604.886133302,1671052.6843194985,7868672.080863851
2,400000.0,100.0,100000.0,150.0,4.0,4.0,8.0,4.0,800000.0,100000.0,100000.0,1.0,282842.71247461904,2057.0,2057.0,205700.0,30896960.044405177,0.0,0.0,0.0
3,400000.0,100.0,100000.0,200.0,4.0,4.0,8.0,4.0,800000.0,100000.0,100000.0,1.0,282842.71247461904,1967.0,1967.0,196700.0,38899333.46074419,38813170.08204153,38812266.05268914,38865359.95580581
4,400000.0,100.0,100000.0,300.0,4.0,4.0,8.0,4.0,800000.0,100000.0,100000.0,1.0,282842.71247461904,1980.0,1980.0,198000.0,58651159.52981344,34807676.94546235,24215964.66995104,46012545.70100331
5,400000.0,100.0,100000.0,350.0,4.0,4.0,8.0,4.0,800000.0,100000.0,100000.0,1.0,282842.71247461904,2005.0,2005.0,200500.0,70043135.60226528,0.0,0.0,0.0
6,400000.0,100.0,100000.0,400.0,4.0,4.0,8.0,4.0,800000.0,100000.0,100000.0,1.0,282842.71247461904,1999.0,1999.0,199900.0,79234130.5545938,29463024.69603076,7244482.817192839,32618062.327393766
7,400000.0,100.0,100000.0,450.0,4.0,4.0,8.0,4.0,800000.0,100000.0,100000.0,1.0,282842.71247461904,2026.0,2026.0,202600.0,91454740.93442121,91218994.53902094,91252734.30755596,91381012.95933804
8,400000.0,100.0,100000.0,500.0,4.0,4.0,8.0,4.0,800000.0,100000.0,100000.0,1.0,282842.71247461904,1974.0,1974.0,197400.0,98566322.27421853,0.0,0.0,0.0
9,400000.0,100.0,100000.0,250.0,4.0,4.0,8.0,4.0,800000.0,100000.0,100000.0,1.0,282842.71247461904,1996.0,1996.0,199600.0,50437468.92364678,50407338.570352525,50409989.27309966,50426719.02747396
