,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MIDA-lottery gain,MIDA-Vickrey traders gain,MIDA-Vickrey total gain
0,2000000.0,100000.0,100000.0,250.0,20.0,20.0,40.0,20.0,4000000.0,100000.0,100000.0,1.0,632455.5320336758,10.0,10.0,1000000.0,234365474.39032328,104815557.34053034,72953305.49929598,170146444.33301336
1,4000000.0,100000.0,100000.0,250.0,40.0,40.0,80.0,40.0,8000000.0,100000.0,100000.0,1.0,894427.1909999158,21.0,21.0,2100000.0,564142218.0123101,472518334.88372684,378951024.72374284,535688930.12215674
2,6000000.0,100000.0,100000.0,250.0,60.0,60.0,120.0,60.0,12000000.0,100000.0,100000.0,1.0,1095445.1150103323,32.0,32.0,3200000.0,783765045.1991186,719284171.3489199,679061724.3646821,774288759.518218
3,8000000.0,100000.0,100000.0,250.0,80.0,80.0,160.0,80.0,16000000.0,100000.0,100000.0,1.0,1264911.0640673516,41.0,41.0,4100000.0,1026023218.2058885,851933969.8374877,640261748.4054358,963411809.5873865
4,10000000.0,100000.0,100000.0,250.0,100.0,100.0,200.0,100.0,20000000.0,100000.0,100000.0,1.0,1414213.562373095,48.0,48.0,4800000.0,1234710730.583966,1221285731.780717,1163043827.873492,1231808200.8357723
5,12000000.0,100000.0,100000.0,250.0,120.0,120.0,240.0,120.0,24000000.0,100000.0,100000.0,1.0,1549193.3384829666,63.0,63.0,6300000.0,1568015278.3952212,1396977585.852902,1328475595.7067351,1551347055.676055
6,14000000.0,100000.0,100000.0,250.0,140.0,140.0,280.0,140.0,28000000.0,100000.0,100000.0,1.0,1673320.053068151,75.0,75.0,7500000.0,1910601506.343195,1664910518.1341367,1375862157.2479792,1855185057.2817698
7,16000000.0,100000.0,100000.0,250.0,160.0,160.0,320.0,160.0,32000000.0,100000.0,100000.0,1.0,1788854.3819998316,78.0,78.0,7800000.0,2030814090.5543299,2012017998.0423837,1967771278.8337436,2030005849.3784251
8,18000000.0,100000.0,100000.0,250.0,180.0,180.0,360.0,180.0,36000000.0,100000.0,100000.0,1.0,1897366.5961010277,92.0,92.0,9200000.0,2358884327.5558596,2004044011.4384177,1673448374.908228,2281184250.157628
9,20000000.0,100000.0,100000.0,250.0,200.0,200.0,400.0,200.0,40000000.0,100000.0,100000.0,1.0,2000000.0,99.0,99.0,9900000.0,2500442579.094066,1982923688.9106843,1698358889.7464678,2403100221.6039705
10,22000000.0,100000.0,100000.0,250.0,220.0,220.0,440.0,220.0,44000000.0,100000.0,100000.0,1.0,2097617.696340303,113.0,113.0,11300000.0,2741454673.5861826,2552298856.346873,2434355228.0434237,2728192898.636337
11,24000000.0,100000.0,100000.0,250.0,240.0,240.0,480.0,240.0,48000000.0,100000.0,100000.0,1.0,2190890.2300206646,120.0,120.0,12000000.0,3002681100.137038,2610856137.1415977,2157460464.5604935,2928582540.0970564
12,26000000.0,100000.0,100000.0,250.0,260.0,260.0,520.0,260.0,52000000.0,100000.0,100000.0,1.0,2280350.850198276,133.0,133.0,13300000.0,3305043650.7811947,2886193233.004793,2476076462.017102,3244360884.0241194
13,28000000.0,100000.0,100000.0,250.0,280.0,280.0,560.0,280.0,56000000.0,100000.0,100000.0,1.0,2366431.9132398465,148.0,148.0,14800000.0,3736027645.2375603,3487186050.7913723,3298276104.1224,3715508371.534936
14,30000000.0,100000.0,100000.0,250.0,300.0,300.0,600.0,300.0,60000000.0,100000.0,100000.0,1.0,2449489.742783178,156.0,156.0,15600000.0,4003579227.1470957,3847195052.33884,3833615002.5579133,4001288235.278041
15,32000000.0,100000.0,100000.0,250.0,320.0,320.0,640.0,320.0,64000000.0,100000.0,100000.0,1.0,2529822.1281347033,149.0,149.0,14900000.0,3535195813.721302,3371609938.101997,3197302305.6780567,3524372597.8922215
16,34000000.0,100000.0,100000.0,250.0,340.0,340.0,680.0,340.0,68000000.0,100000.0,100000.0,1.0,2607680.9620810593,167.0,167.0,16700000.0,4345830320.978078,3798970693.380804,3391104187.5739636,4267940000.1358113
17,36000000.0,100000.0,100000.0,250.0,360.0,360.0,720.0,360.0,72000000.0,100000.0,100000.0,1.0,2683281.5729997475,178.0,178.0,17800000.0,4556019869.927887,4533367706.672612,4434185168.97086,4554216995.777538
18,38000000.0,100000.0,100000.0,250.0,380.0,380.0,760.0,380.0,76000000.0,100000.0,100000.0,1.0,2756809.750418044,198.0,198.0,19800000.0,5124340578.898825,5049272451.710732,4961110983.399589,5122381795.255728
19,40000000.0,100000.0,100000.0,250.0,400.0,400.0,800.0,400.0,80000000.0,100000.0,100000.0,1.0,2828427.12474619,191.0,191.0,19100000.0,4998683395.247837,4678647127.274708,4565851317.259655,4984219192.061593
20,2000000.0,100000.0,100000.0,250.0,20.0,20.0,40.0,20.0,4000000.0,100000.0,100000.0,1.0,632455.5320336758,9.0,9.0,900000.0,268185650.2836885,231768967.11810207,223665082.04870695,261364046.55816478
21,4000000.0,100000.0,100000.0,250.0,40.0,40.0,80.0,40.0,8000000.0,100000.0,100000.0,1.0,894427.1909999158,19.0,19.0,1900000.0,421317858.24114156,412817835.8771309,410417569.9896009,420936459.6966686
22,6000000.0,100000.0,100000.0,250.0,60.0,60.0,120.0,60.0,12000000.0,100000.0,100000.0,1.0,1095445.1150103323,24.0,24.0,2400000.0,536939470.7460872,389160431.13824,432356196.8655366,523649339.52491266
23,8000000.0,100000.0,100000.0,250.0,80.0,80.0,160.0,80.0,16000000.0,100000.0,100000.0,1.0,1264911.0640673516,47.0,47.0,4700000.0,1274127090.1931405,1026511401.7875907,785695623.6068017,1200696174.5070086
24,10000000.0,100000.0,100000.0,250.0,100.0,100.0,200.0,100.0,20000000.0,100000.0,100000.0,1.0,1414213.562373095,51.0,51.0,5100000.0,1220668047.6740742,571786532.842471,379606943.6922328,892615536.1068107
25,12000000.0,100000.0,100000.0,250.0,120.0,120.0,240.0,120.0,24000000.0,100000.0,100000.0,1.0,1549193.3384829666,61.0,61.0,6100000.0,1475474567.7668786,1359470770.1860805,1282474525.6364675,1458801245.8504548
26,14000000.0,100000.0,100000.0,250.0,140.0,140.0,280.0,140.0,28000000.0,100000.0,100000.0,1.0,1673320.053068151,69.0,69.0,6900000.0,1720512162.3025894,1673365755.5438418,1566791693.2230191,1715878443.6465235
27,16000000.0,100000.0,100000.0,250.0,160.0,160.0,320.0,160.0,32000000.0,100000.0,100000.0,1.0,1788854.3819998316,80.0,80.0,8000000.0,2049463091.556191,1918511480.264008,1869270419.193946,2041098065.2206
28,18000000.0,100000.0,100000.0,250.0,180.0,180.0,360.0,180.0,36000000.0,100000.0,100000.0,1.0,1897366.5961010277,88.0,88.0,8800000.0,2174366634.1376934,2071994757.7811615,1909654092.4135852,2164937666.781753
29,20000000.0,100000.0,100000.0,250.0,200.0,200.0,400.0,200.0,40000000.0,100000.0,100000.0,1.0,2000000.0,106.0,106.0,10600000.0,2663242221.5701175,2198257300.04403,1884751432.6712258,2581012409.7788086
30,22000000.0,100000.0,100000.0,250.0,220.0,220.0,440.0,220.0,44000000.0,100000.0,100000.0,1.0,2097617.696340303,104.0,104.0,10400000.0,2552876984.7532315,2334431880.5933437,2227307753.3237615,2539122952.814967
31,24000000.0,100000.0,100000.0,250.0,240.0,240.0,480.0,240.0,48000000.0,100000.0,100000.0,1.0,2190890.2300206646,107.0,107.0,10700000.0,2613671186.750577,2508874980.0948772,2472405091.2748995,2609337544.422623
32,26000000.0,100000.0,100000.0,250.0,260.0,260.0,520.0,260.0,52000000.0,100000.0,100000.0,1.0,2280350.850198276,136.0,136.0,13600000.0,3505610498.2091475,3189331635.170779,2880353218.9875546,3462492737.5523014
33,28000000.0,100000.0,100000.0,250.0,280.0,280.0,560.0,280.0,56000000.0,100000.0,100000.0,1.0,2366431.9132398465,136.0,136.0,13600000.0,3538889658.060005,3352630331.2656426,3009080863.4525843,3519592020.558931
34,30000000.0,100000.0,100000.0,250.0,300.0,300.0,600.0,300.0,60000000.0,100000.0,100000.0,1.0,2449489.742783178,144.0,144.0,14400000.0,3567395149.792902,3071124826.0180817,2661220594.21411,3481036535.3870964
35,32000000.0,100000.0,100000.0,250.0,320.0,320.0,640.0,320.0,64000000.0,100000.0,100000.0,1.0,2529822.1281347033,167.0,167.0,16700000.0,4165688220.5448866,4144675470.7059026,4151188637.5318494,4165632810.0122256
36,34000000.0,100000.0,100000.0,250.0,340.0,340.0,680.0,340.0,68000000.0,100000.0,100000.0,1.0,2607680.9620810593,173.0,173.0,17300000.0,4020210263.1227865,3544676796.9518385,3178913148.139001,3964678599.8069506
37,36000000.0,100000.0,100000.0,250.0,360.0,360.0,720.0,360.0,72000000.0,100000.0,100000.0,1.0,2683281.5729997475,178.0,178.0,17800000.0,4460612591.619027,3686958894.417397,3090755090.9699736,4306606720.325378
38,38000000.0,100000.0,100000.0,250.0,380.0,380.0,760.0,380.0,76000000.0,100000.0,100000.0,1.0,2756809.750418044,183.0,183.0,18300000.0,4712116145.074111,4533398056.227215,4396009390.682131,4704145732.167532
39,40000000.0,100000.0,100000.0,250.0,400.0,400.0,800.0,400.0,80000000.0,100000.0,100000.0,1.0,2828427.12474619,207.0,207.0,20700000.0,5071328031.106265,4410657612.042171,4087162823.6971784,4996120643.911647
40,2000000.0,100000.0,100000.0,250.0,20.0,20.0,40.0,20.0,4000000.0,100000.0,100000.0,1.0,632455.5320336758,10.0,10.0,1000000.0,203962036.19996607,134658238.46336833,110528722.2176992,174687949.07596666
41,4000000.0,100000.0,100000.0,250.0,40.0,40.0,80.0,40.0,8000000.0,100000.0,100000.0,1.0,894427.1909999158,23.0,23.0,2300000.0,542062400.6890156,385898152.99153554,269831200.03574085,472142040.18596715
42,6000000.0,100000.0,100000.0,250.0,60.0,60.0,120.0,60.0,12000000.0,100000.0,100000.0,1.0,1095445.1150103323,29.0,29.0,2900000.0,754402235.8592744,343036086.04064023,216122383.32179868,574280603.6981257
43,8000000.0,100000.0,100000.0,250.0,80.0,80.0,160.0,80.0,16000000.0,100000.0,100000.0,1.0,1264911.0640673516,41.0,41.0,4100000.0,1125613735.2832808,855518152.4162742,681600843.9159786,1041843454.7587308
44,10000000.0,100000.0,100000.0,250.0,100.0,100.0,200.0,100.0,20000000.0,100000.0,100000.0,1.0,1414213.562373095,47.0,47.0,4700000.0,1125146578.9125676,1110705072.2753487,1116452299.936325,1125146578.9125671
45,12000000.0,100000.0,100000.0,250.0,120.0,120.0,240.0,120.0,24000000.0,100000.0,100000.0,1.0,1549193.3384829666,63.0,63.0,6300000.0,1623853444.9878373,1473664781.0973651,1355126998.01827,1606224824.126123
46,14000000.0,100000.0,100000.0,250.0,140.0,140.0,280.0,140.0,28000000.0,100000.0,100000.0,1.0,1673320.053068151,70.0,70.0,7000000.0,1840727472.888174,1704476593.5626526,1541608989.9300942,1822434037.3396993
47,16000000.0,100000.0,100000.0,250.0,160.0,160.0,320.0,160.0,32000000.0,100000.0,100000.0,1.0,1788854.3819998316,76.0,76.0,7600000.0,1834412696.1626282,1803277924.321248,1815629171.9553626,1834151846.6221986
48,18000000.0,100000.0,100000.0,250.0,180.0,180.0,360.0,180.0,36000000.0,100000.0,100000.0,1.0,1897366.5961010277,90.0,90.0,9000000.0,2377666504.2081995,2239836859.7460575,2221724005.390574,2375281842.048936
49,20000000.0,100000.0,100000.0,250.0,200.0,200.0,400.0,200.0,40000000.0,100000.0,100000.0,1.0,2000000.0,105.0,105.0,10500000.0,2609368985.091005,2127432138.2101202,1748962355.5008585,2492700256.95002
50,22000000.0,100000.0,100000.0,250.0,220.0,220.0,440.0,220.0,44000000.0,100000.0,100000.0,1.0,2097617.696340303,108.0,108.0,10800000.0,2740591389.858288,2565060183.153906,2480297290.6146274,2726343571.248425
51,24000000.0,100000.0,100000.0,250.0,240.0,240.0,480.0,240.0,48000000.0,100000.0,100000.0,1.0,2190890.2300206646,120.0,120.0,12000000.0,3112637860.2609425,2733154215.807418,2364740395.750072,3040150124.4715977
52,26000000.0,100000.0,100000.0,250.0,260.0,260.0,520.0,260.0,52000000.0,100000.0,100000.0,1.0,2280350.850198276,131.0,131.0,13100000.0,3224702495.836854,3067975932.3462286,2989780919.985749,3215327177.0214386
