Total traders,Unnamed: 0,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MIDA-lottery gain,MIDA-Vickrey traders gain,MIDA-Vickrey total gain,Optimal market size,Normalized market size,log10(M),MIDA-lottery ratio,MIDA-Vickrey traders ratio,MIDA-Vickrey total ratio
"(39.24, 78]",90,200.0,1.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.24555320336758,101.5,101.5,101.5,25391.164177629733,19074.926271668017,15842.839856121389,22977.769315715082,101.5,10.15,1.0,0.7553129097295304,0.6304313828250278,0.9072511514291627
"(78, 116]",91,400.0,1.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999158,204.0,204.0,204.0,51394.96321878113,38141.39874354666,29873.052554818394,46166.30535349033,204.0,20.4,1.0,0.7412748775174567,0.5802669208713301,0.8977702770300395
"(116, 154]",92,600.0,1.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103321,301.8,301.8,301.8,75201.74669997494,66203.61130570348,59078.413944536835,72819.64663265694,301.8,30.18,1.0,0.8802987690884938,0.7853380086548025,0.9684318533997704
"(154, 192]",93,800.0,1.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673516,402.2,402.2,402.2,101286.93107654758,87570.62420230995,77045.783819364,98202.75385213367,402.2,40.220000000000006,1.0,0.8641735103493084,0.7599707881012566,0.9694008332217713
"(192, 230]",94,1000.0,1.0,10.0,250.0,100.0,100.0,200.0,100.0,2000.0,10.0,10.0,1.0,141.42135623730948,504.7,504.7,504.7,125882.28581972545,109158.10545309998,97199.7028396939,122420.75682931107,504.7,50.470000000000006,1.0,0.8678222137500595,0.7733294972156248,0.9726844038895388
"(230, 268]",95,1200.0,1.0,10.0,250.0,120.0,120.0,240.0,120.0,2400.0,10.0,10.0,1.0,154.91933384829667,609.2,609.2,609.2,150923.82910731275,135369.4103621728,122855.6984928449,146924.39376902493,609.2,60.919999999999995,1.0,0.8981861860381073,0.8163386649434002,0.9739937177267949
"(268, 306]",96,1400.0,1.0,10.0,250.0,140.0,140.0,280.0,140.0,2800.0,10.0,10.0,1.0,167.3320053068151,696.9,696.9,696.9,174118.13951660067,152842.06430794855,136583.6902948015,170032.98379730445,696.9,69.69,1.0,0.8771050712111694,0.7832913463787644,0.9763390854065065
"(306, 344]",97,1600.0,1.0,10.0,250.0,160.0,160.0,320.0,160.0,3200.0,10.0,10.0,1.0,178.88543819998316,796.3,796.3,796.3,199453.49164888682,175618.5707022031,156513.5550976314,194862.52287294468,796.3,79.63000000000001,1.0,0.8800152426746468,0.7838961388070864,0.97682738621321
"(344, 382]",98,1800.0,1.0,10.0,250.0,180.0,180.0,360.0,180.0,3600.0,10.0,10.0,1.0,189.7366596101028,902.0,902.0,902.0,227138.56483528827,210210.05642505,195322.46978585134,224961.8657358527,902.0,90.2,1.0,0.925584105956067,0.8602081487094887,0.9904320357867841
"(382, 420]",99,2000.0,1.0,10.0,250.0,200.0,200.0,400.0,200.0,4000.0,10.0,10.0,1.0,200.0,1006.2,1006.2,1006.2,250756.51389192202,227886.83175048846,209098.04546745424,246790.51957342873,1006.2,100.62,1.0,0.9082861945166547,0.8329904167488602,0.9841076925484895
