,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MIDA-lottery gain,MIDA-Vickrey traders gain,MIDA-Vickrey total gain
0,4000.0,1.0,100.0,250.0,40.0,40.0,80.0,40.0,8000.0,100.0,100.0,1.0,894.4271909999159,1960.0,1960.0,1960.0,493977.5233385437,459538.6820073494,430042.04117687873,490370.15270710026
1,4000.0,1.0,1000.0,250.0,4.0,4.0,8.0,4.0,8000.0,1000.0,1000.0,1.0,2828.42712474619,2013.0,2013.0,2013.0,497532.96385762363,497113.0293732295,497048.8880627394,497341.464397799
2,4000.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,8000.0,4000.0,4000.0,1.0,5656.85424949238,2015.0,2015.0,2015.0,505973.312673151,0.0,0.0,0.0
3,4000.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,8000.0,4000.0,4000.0,1.0,5656.85424949238,2036.0,2036.0,2036.0,507869.48645449674,0.0,0.0,0.0
4,4000.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,8000.0,4000.0,4000.0,1.0,5656.85424949238,1990.0,1990.0,1990.0,494202.02061969275,0.0,0.0,0.0
5,4000.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,8000.0,4000.0,4000.0,1.0,5656.85424949238,2006.0,2006.0,2006.0,500962.68114978285,0.0,0.0,0.0
6,4000.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,8000.0,4000.0,4000.0,1.0,5656.85424949238,1996.0,1996.0,1996.0,500275.9317672063,0.0,0.0,0.0
7,4000.0,1.0,10.0,250.0,400.0,400.0,800.0,400.0,8000.0,10.0,10.0,1.0,282.842712474619,2023.0,2023.0,2023.0,505072.7825106415,438230.6211998805,379744.51713134,493435.010605683
8,4000.0,1.0,100.0,250.0,40.0,40.0,80.0,40.0,8000.0,100.0,100.0,1.0,894.4271909999159,1962.0,1962.0,1962.0,484692.35680280696,465091.5411580822,457491.61685336183,483578.40211168607
9,4000.0,1.0,1000.0,250.0,4.0,4.0,8.0,4.0,8000.0,1000.0,1000.0,1.0,2828.42712474619,2019.0,2019.0,2019.0,502367.49009540316,284027.6771158943,175707.4239135664,370707.2515760638
10,4000.0,1.0,10000.0,250.0,1.0,1.0,2.0,1.0,8000.0,4000.0,4000.0,1.0,5656.85424949238,2038.0,2038.0,2038.0,512870.86699183425,0.0,0.0,0.0
11,4000.0,1.0,100000.0,250.0,1.0,1.0,2.0,1.0,8000.0,4000.0,4000.0,1.0,5656.85424949238,1971.0,1971.0,1971.0,497764.4771712187,0.0,0.0,0.0
12,4000.0,1.0,1000000.0,250.0,1.0,1.0,2.0,1.0,8000.0,4000.0,4000.0,1.0,5656.85424949238,1961.0,1961.0,1961.0,490342.34041524003,0.0,0.0,0.0
13,4000.0,1.0,10000000.0,250.0,1.0,1.0,2.0,1.0,8000.0,4000.0,4000.0,1.0,5656.85424949238,1985.0,1985.0,1985.0,495860.8204094083,0.0,0.0,0.0
14,4000.0,1.0,100000000.0,250.0,1.0,1.0,2.0,1.0,8000.0,4000.0,4000.0,1.0,5656.85424949238,1973.0,1973.0,1973.0,486095.9894973531,0.0,0.0,0.0
15,4000.0,1.0,10.0,250.0,400.0,400.0,800.0,400.0,8000.0,10.0,10.0,1.0,282.842712474619,2034.0,2034.0,2034.0,510968.9582727476,482182.1132893013,453638.272989615,508808.26908701845
16,4000.0,1.0,100.0,250.0,40.0,40.0,80.0,40.0,8000.0,100.0,100.0,1.0,894.4271909999159,1996.0,1996.0,1996.0,499214.2673567125,383568.5921578973,300185.41234643734,465013.58718566824
17,4000.0,1.0,1000.0,250.0,4.0,4.0,8.0,4.0,8000.0,1000.0,1000.0,1.0,2828.42712474619,2060.0,2060.0,2060.0,525482.6763471221,523759.29657696944,523680.5210605168,524942.4241491518
